cycle,world_count,session_count,membership_count,retained_worlds,managed_bytes,private_bytes,working_set_bytes
0,0,4,0,0,654368,33427456,42479616
100,0,4,0,0,1883864,34689024,43741184
200,0,4,0,0,1884040,34664448,43741184
300,0,4,0,0,1884656,34717696,43827200
400,0,4,0,0,1884720,34717696,43827200
500,0,4,0,0,1884816,34717696,43827200
600,0,4,0,0,1885432,34795520,43933696
700,0,4,0,0,1885496,34766848,43917312
800,0,4,0,0,1885304,34795520,43933696
900,0,4,0,0,1882856,34795520,43933696
1000,0,4,0,0,1883240,34795520,43933696
